Description,Native,Bytes,encoding
FACE THROWING A KISS,_פײײ,\xF0\x9F\x98\x98,<ed><a0><bd><ed><b8><98>
FACE WITH COLD SWEAT,_פײס,\xF0\x9F\x98\x93,<ed><a0><bd><ed><b8><93>
FACE WITH LOOK OF TRIUMPH,_פײ_,\xF0\x9F\x98\xA4,<ed><a0><bd><ed><b8><a4>
FACE WITH MEDICAL MASK,_פײ‡,\xF0\x9F\x98\xB7,<ed><a0><bd><ed><b8><b7>
FACE WITH NO GOOD GESTURE,_פ»ƒ,\xF0\x9F\x99\x85,<ed><a0><bd><ed><b9><85>
FACE WITH OK GESTURE,_פ»Ê,\xF0\x9F\x99\x86,<ed><a0><bd><ed><b9><86>
FACE WITH OPEN MOUTH,_פײ¬,\xF0\x9F\x98\xAE,<ed><a0><bd><ed><b8><ae>
FACE WITH OPEN MOUTH AND COLD SWEAT,_פײֱ,\xF0\x9F\x98\xB0,<ed><a0><bd><ed><b8><b0>
FACE WITH STUCK-OUT TONGUE,_פײ_,\xF0\x9F\x98\x9B,<ed><a0><bd><ed><b8><9b>
FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,_פײ,\xF0\x9F\x98\x9D,<ed><a0><bd><ed><b8><9d>
FACE WITH STUCK-OUT TONGUE AND WINKING EYE,_פײל,\xF0\x9F\x98\x9C,<ed><a0><bd><ed><b8><9c>
FACE WITH TEARS OF JOY,_פײ‰,\xF0\x9F\x98\x82,<ed><a0><bd><ed><b8><82>
FACE WITHOUT MOUTH,_פײ_,\xF0\x9F\x98\xB6,<ed><a0><bd><ed><b8><b6>
FACTORY,_פ_,\xF0\x9F\x8F\xAD,<ed><a0><bc><ed><bf><ad>
FALLEN LEAF,_פ‰,\xF0\x9F\x8D\x82,<ed><a0><bc><ed><bd><82>
FAMILY,_פןָ,\xF0\x9F\x91\xAA,<ed><a0><bd><ed><b1><aa>
FATHER CHRISTMAS,_פ_ƒ,\xF0\x9F\x8E\x85,<ed><a0><bc><ed><be><85>
FAX MACHINE,_פסז,\xF0\x9F\x93\xA0,<ed><a0><bd><ed><b3><a0>
FEARFUL FACE,_פײֲ,\xF0\x9F\x98\xA8,<ed><a0><bd><ed><b8><a8>
FERRIS WHEEL,_פ_ח,\xF0\x9F\x8E\xA1,<ed><a0><bc><ed><be><a1>
FILE FOLDER,_פס,\xF0\x9F\x93\x81,<ed><a0><bd><ed><b3><81>
FIRE,_פמ«,\xF0\x9F\x94\xA5,<ed><a0><bd><ed><b4><a5>
FIRE ENGINE,_פ_ֽ,\xF0\x9F\x9A\x92,<ed><a0><bd><ed><ba><92>
FIREWORK SPARKLER,_פ_ˆ,\xF0\x9F\x8E\x87,<ed><a0><bc><ed><be><87>
FIREWORKS,_פ_Ê,\xF0\x9F\x8E\x86,<ed><a0><bc><ed><be><86>
FIRST QUARTER MOON SYMBOL,_פכס,\xF0\x9F\x8C\x93,<ed><a0><bc><ed><bc><93>
FIRST QUARTER MOON WITH FACE,_פכ_,\xF0\x9F\x8C\x9B,<ed><a0><bc><ed><bc><9b>
FISH,_פפ,\xF0\x9F\x90\x9F,<ed><a0><bd><ed><b0><9f>
FISH CAKE WITH SWIRL DESIGN,_פ«,\xF0\x9F\x8D\xA5,<ed><a0><bc><ed><bd><a5>
FISHING POLE AND FISH,_פ_£,\xF0\x9F\x8E\xA3,<ed><a0><bc><ed><be><a3>
FISTED HAND SIGN,_פן_,\xF0\x9F\x91\x8A,<ed><a0><bd><ed><b1><8a>
FLAG IN HOLE,ה__,\xE2\x9B\xB3,<e2><9b><b3>
FLEXED BICEPS,_פָֽ,\xF0\x9F\x92\xAA,<ed><a0><bd><ed><b2><aa>
FLOPPY DISK,_פֽ_,\xF0\x9F\x92\xBE,<ed><a0><bd><ed><b2><be>
FLOWER PLAYING CARDS,_פ_ַ,\xF0\x9F\x8E\xB4,<ed><a0><bc><ed><be><b4>
FLUSHED FACE,_פײ_,\xF0\x9F\x98\xB3,<ed><a0><bd><ed><b8><b3>
FOGGY,_פכ,\xF0\x9F\x8C\x81,<ed><a0><bc><ed><bc><81>
FOOTPRINTS,_פן£,\xF0\x9F\x91\xA3,<ed><a0><bd><ed><b1><a3>
FORK AND KNIFE,_פַ,\xF0\x9F\x8D\xB4,<ed><a0><bc><ed><bd><b4>
FOUNTAIN,ה__,\xE2\x9B\xB2,<e2><9b><b2>
FOUR LEAF CLOVER,_פף,\xF0\x9F\x8D\x80,<ed><a0><bc><ed><bd><80>
FRENCH FRIES,_פפ,\xF0\x9F\x8D\x9F,<ed><a0><bc><ed><bd><9f>
FRIED SHRIMP,_פ_,\xF0\x9F\x8D\xA4,<ed><a0><bc><ed><bd><a4>
FROG FACE,_פ,\xF0\x9F\x90\xB8,<ed><a0><bd><ed><b0><b8>
FRONT-FACING BABY CHICK,_פ«,\xF0\x9F\x90\xA5,<ed><a0><bd><ed><b0><a5>
FROWNING FACE WITH OPEN MOUTH,_פײ_,\xF0\x9F\x98\xA6,<ed><a0><bd><ed><b8><a6>
FUEL PUMP,ה__,\xE2\x9B\xBD,<e2><9b><bd>
FULL MOON SYMBOL,_פכ´,\xF0\x9F\x8C\x95,<ed><a0><bc><ed><bc><95>
FULL MOON WITH FACE,_פכ,\xF0\x9F\x8C\x9D,<ed><a0><bc><ed><bc><9d>
GAME DIE,_פ__,\xF0\x9F\x8E\xB2,<ed><a0><bc><ed><be><b2>
GEM STONE,_פֽ_,\xF0\x9F\x92\x8E,<ed><a0><bd><ed><b2><8e>
GEMINI,ה»_,\xE2\x99\x8A,<e2><99><8a>
GHOST,_פןי,\xF0\x9F\x91\xBB,<ed><a0><bd><ed><b1><bb>
GIRL,_פן_,\xF0\x9F\x91\xA7,<ed><a0><bd><ed><b1><a7>
GLOBE WITH MERIDIANS,_פכ,\xF0\x9F\x8C\x90,<ed><a0><bc><ed><bc><90>
GLOWING STAR,_פכפ,\xF0\x9F\x8C\x9F,<ed><a0><bc><ed><bc><9f>
GOAT,_פ,\xF0\x9F\x90\x90,<ed><a0><bd><ed><b0><90>
GRADUATION CAP,_פ_ס,\xF0\x9F\x8E\x93,<ed><a0><bc><ed><be><93>
GRAPES,_פˆ,\xF0\x9F\x8D\x87,<ed><a0><bc><ed><bd><87>
GREEN APPLE,_פ,\xF0\x9F\x8D\x8F,<ed><a0><bc><ed><bd><8f>
GREEN BOOK,_פס„,\xF0\x9F\x93\x97,<ed><a0><bd><ed><b3><97>
GREEN HEART,_פֽ_,\xF0\x9F\x92\x9A,<ed><a0><bd><ed><b2><9a>
GRIMACING FACE,_פײו,\xF0\x9F\x98\xAC,<ed><a0><bd><ed><b8><ac>
GRINNING CAT FACE WITH SMILING EYES,_פײ,\xF0\x9F\x98\xB8,<ed><a0><bd><ed><b8><b8>
GRINNING FACE,_פײף,\xF0\x9F\x98\x80,<ed><a0><bd><ed><b8><80>
GRINNING FACE WITH SMILING EYES,_פײ,\xF0\x9F\x98\x81,<ed><a0><bd><ed><b8><81>
GROWING HEART,_פֽ„,\xF0\x9F\x92\x97,<ed><a0><bd><ed><b2><97>
GUARDSMAN,_פֽ‰,\xF0\x9F\x92\x82,<ed><a0><bd><ed><b2><82>
GUITAR,_פ_,\xF0\x9F\x8E\xB8,<ed><a0><bc><ed><be><b8>
HAIRCUT,_פֽˆ,\xF0\x9F\x92\x87,<ed><a0><bd><ed><b2><87>
HAMBURGER,_פמ,\xF0\x9F\x8D\x94,<ed><a0><bc><ed><bd><94>
HAMMER,_פמֲ,\xF0\x9F\x94\xA8,<ed><a0><bd><ed><b4><a8>
HAMSTER FACE,_פ_,\xF0\x9F\x90\xB9,<ed><a0><bd><ed><b0><b9>
HANDBAG,_פןל,\xF0\x9F\x91\x9C,<ed><a0><bd><ed><b1><9c>
HAPPY PERSON RAISING ONE HAND,_פ»†,\xF0\x9F\x99\x8B,<ed><a0><bd><ed><b9><8b>
HATCHING CHICK,_פ£,\xF0\x9F\x90\xA3,<ed><a0><bd><ed><b0><a3>
HEADPHONE,_פ__,\xF0\x9F\x8E\xA7,<ed><a0><bc><ed><be><a7>
HEAR-NO-EVIL MONKEY,_פ»,\xF0\x9F\x99\x89,<ed><a0><bd><ed><b9><89>
HEART DECORATION,_פֽפ,\xF0\x9F\x92\x9F,<ed><a0><bd><ed><b2><9f>
HEART WITH ARROW,_פֽײ,\xF0\x9F\x92\x98,<ed><a0><bd><ed><b2><98>
HEART WITH RIBBON,_פֽ,\xF0\x9F\x92\x9D,<ed><a0><bd><ed><b2><9d>
HEAVY BLACK HEART,ה_,\xE2\x9D\xA4,<e2><9d><a4>
HEAVY CHECK MARK,הלמ,\xE2\x9C\x94,<e2><9c><94>
HEAVY DIVISION SIGN,ה_„,\xE2\x9E\x97,<e2><9e><97>
HEAVY DOLLAR SIGN,_פֽ_,\xF0\x9F\x92\xB2,<ed><a0><bd><ed><b2><b2>
HEAVY EXCLAMATION MARK SYMBOL,ה„,\xE2\x9D\x97,<e2><9d><97>
HEAVY LARGE CIRCLE,ה_´,\xE2\xAD\x95,<e2><ad><95>
HEAVY MINUS SIGN,ה__,\xE2\x9E\x96,<e2><9e><96>
HEAVY MULTIPLICATION X,הל_,\xE2\x9C\x96,<e2><9c><96>
HEAVY PLUS SIGN,ה_´,\xE2\x9E\x95,<e2><9e><95>
HELICOPTER,_פ_,\xF0\x9F\x9A\x81,<ed><a0><bd><ed><ba><81>
HERB,_פכֻ,\xF0\x9F\x8C\xBF,<ed><a0><bc><ed><bc><bf>
HIBISCUS,_פכ_,\xF0\x9F\x8C\xBA,<ed><a0><bc><ed><bc><ba>
HIGH BRIGHTNESS SYMBOL,_פמÊ,\xF0\x9F\x94\x86,<ed><a0><bd><ed><b4><86>
HIGH VOLTAGE SIGN,ה_ח,\xE2\x9A\xA1,<e2><9a><a1>
HIGH-HEELED SHOE,_פןז,\xF0\x9F\x91\xA0,<ed><a0><bd><ed><b1><a0>
HIGH-SPEED TRAIN,_פ_‹,\xF0\x9F\x9A\x84,<ed><a0><bd><ed><ba><84>
HIGH-SPEED TRAIN WITH BULLET NOSE,_פ_ƒ,\xF0\x9F\x9A\x85,<ed><a0><bd><ed><ba><85>
HOCHO,_פמָ,\xF0\x9F\x94\xAA,<ed><a0><bd><ed><b4><aa>
HONEY POT,_פ¿,\xF0\x9F\x8D\xAF,<ed><a0><bc><ed><bd><af>
HONEYBEE,_פ,\xF0\x9F\x90\x9D,<ed><a0><bd><ed><b0><9d>
HORIZONTAL TRAFFIC LIGHT,_פ_«,\xF0\x9F\x9A\xA5,<ed><a0><bd><ed><ba><a5>
HORSE,_פ_,\xF0\x9F\x90\x8E,<ed><a0><bd><ed><b0><8e>
HORSE FACE,_פַ,\xF0\x9F\x90\xB4,<ed><a0><bd><ed><b0><b4>
HORSE RACING,_פˆ,\xF0\x9F\x8F\x87,<ed><a0><bc><ed><bf><87>
HOSPITAL,_פ«,\xF0\x9F\x8F\xA5,<ed><a0><bc><ed><bf><a5>
HOT BEVERAGE,הײ´,\xE2\x98\x95,<e2><98><95>
HOT SPRINGS,ה»ֲ,\xE2\x99\xA8,<e2><99><a8>
HOTEL,_פֲ,\xF0\x9F\x8F\xA8,<ed><a0><bc><ed><bf><a8>
HOURGLASS,הכ_,\xE2\x8C\x9B,<e2><8c><9b>
HOURGLASS WITH FLOWING SAND,ה_,\xE2\x8F\xB3,<e2><8f><b3>
HOUSE BUILDING,_פז,\xF0\x9F\x8F\xA0,<ed><a0><bc><ed><bf><a0>
HOUSE WITH GARDEN,_פח,\xF0\x9F\x8F\xA1,<ed><a0><bc><ed><bf><a1>
HUNDRED POINTS SYMBOL,_פֽ¿,\xF0\x9F\x92\xAF,<ed><a0><bd><ed><b2><af>
HUSHED FACE,_פײ¿,\xF0\x9F\x98\xAF,<ed><a0><bd><ed><b8><af>
ICE CREAM,_פֲ,\xF0\x9F\x8D\xA8,<ed><a0><bc><ed><bd><a8>
IMP,_פןֻ,\xF0\x9F\x91\xBF,<ed><a0><bd><ed><b1><bf>
INBOX TRAY,_פס«,\xF0\x9F\x93\xA5,<ed><a0><bd><ed><b3><a5>
INCOMING ENVELOPE,_פסֲ,\xF0\x9F\x93\xA8,<ed><a0><bd><ed><b3><a8>
INFORMATION DESK PERSON,_פֽ,\xF0\x9F\x92\x81,<ed><a0><bd><ed><b2><81>
INFORMATION SOURCE,ה‹_,\xE2\x84\xB9,<e2><84><b9>
INPUT SYMBOL FOR LATIN CAPITAL LETTERS,_פמז,\xF0\x9F\x94\xA0,<ed><a0><bd><ed><b4><a0>
INPUT SYMBOL FOR LATIN LETTERS,_פמ_,\xF0\x9F\x94\xA4,<ed><a0><bd><ed><b4><a4>
INPUT SYMBOL FOR LATIN SMALL LETTERS,_פמח,\xF0\x9F\x94\xA1,<ed><a0><bd><ed><b4><a1>
INPUT SYMBOL FOR NUMBERS,_פמ¢,\xF0\x9F\x94\xA2,<ed><a0><bd><ed><b4><a2>
INPUT SYMBOL FOR SYMBOLS,_פמ£,\xF0\x9F\x94\xA3,<ed><a0><bd><ed><b4><a3>
IZAKAYA LANTERN,_פ¬,\xF0\x9F\x8F\xAE,<ed><a0><bc><ed><bf><ae>
JACK-O-LANTERN,_פ_€,\xF0\x9F\x8E\x83,<ed><a0><bc><ed><be><83>
JAPANESE CASTLE,_פ¿,\xF0\x9F\x8F\xAF,<ed><a0><bc><ed><bf><af>
JAPANESE DOLLS,_פ__,\xF0\x9F\x8E\x8E,<ed><a0><bc><ed><be><8e>
JAPANESE GOBLIN,_פן_,\xF0\x9F\x91\xBA,<ed><a0><bd><ed><b1><ba>
JAPANESE OGRE,_פן_,\xF0\x9F\x91\xB9,<ed><a0><bd><ed><b1><b9>
JAPANESE POST OFFICE,_פ£,\xF0\x9F\x8F\xA3,<ed><a0><bc><ed><bf><a3>
JAPANESE SYMBOL FOR BEGINNER,_פמֱ,\xF0\x9F\x94\xB0,<ed><a0><bd><ed><b4><b0>
JEANS,_פן_,\xF0\x9F\x91\x96,<ed><a0><bd><ed><b1><96>
KEY,_פמן,\xF0\x9F\x94\x91,<ed><a0><bd><ed><b4><91>
KEYCAP TEN,_פמפ,\xF0\x9F\x94\x9F,<ed><a0><bd><ed><b4><9f>
KIMONO,_פןײ,\xF0\x9F\x91\x98,<ed><a0><bd><ed><b1><98>
KISS,_פֽ,\xF0\x9F\x92\x8F,<ed><a0><bd><ed><b2><8f>
KISS MARK,_פֽ†,\xF0\x9F\x92\x8B,<ed><a0><bd><ed><b2><8b>
KISSING CAT FACE WITH CLOSED EYES,_פײ_,\xF0\x9F\x98\xBD,<ed><a0><bd><ed><b8><bd>
KISSING FACE,_פײ„,\xF0\x9F\x98\x97,<ed><a0><bd><ed><b8><97>
KISSING FACE WITH CLOSED EYES,_פײ_,\xF0\x9F\x98\x9A,<ed><a0><bd><ed><b8><9a>
KISSING FACE WITH SMILING EYES,_פײ»,\xF0\x9F\x98\x99,<ed><a0><bd><ed><b8><99>
KOALA,_פֲ,\xF0\x9F\x90\xA8,<ed><a0><bd><ed><b0><a8>
LADY BEETLE,_פ_,\xF0\x9F\x90\x9E,<ed><a0><bd><ed><b0><9e>
LARGE BLUE CIRCLE,_פמµ,\xF0\x9F\x94\xB5,<ed><a0><bd><ed><b4><b5>
LARGE BLUE DIAMOND,_פמ‡,\xF0\x9F\x94\xB7,<ed><a0><bd><ed><b4><b7>
LARGE ORANGE DIAMOND,_פמ_,\xF0\x9F\x94\xB6,<ed><a0><bd><ed><b4><b6>
LARGE RED CIRCLE,_פמַ,\xF0\x9F\x94\xB4,<ed><a0><bd><ed><b4><b4>
LAST QUARTER MOON SYMBOL,_פכ„,\xF0\x9F\x8C\x97,<ed><a0><bc><ed><bc><97>
LAST QUARTER MOON WITH FACE,_פכל,\xF0\x9F\x8C\x9C,<ed><a0><bc><ed><bc><9c>
LEAF FLUTTERING IN WIND,_פ€,\xF0\x9F\x8D\x83,<ed><a0><bc><ed><bd><83>
LEDGER,_פסֽ,\xF0\x9F\x93\x92,<ed><a0><bd><ed><b3><92>
LEFT LUGGAGE,_פ_ƒ,\xF0\x9F\x9B\x85,<ed><a0><bd><ed><bb><85>
LEFT RIGHT ARROW,הÊמ,\xE2\x86\x94,<e2><86><94>
LEFT-POINTING MAGNIFYING GLASS,_פמ,\xF0\x9F\x94\x8D,<ed><a0><bd><ed><b4><8d>
LEFTWARDS ARROW WITH HOOK,הÊ©,\xE2\x86\xA9,<e2><86><a9>
LEFTWARDS BLACK ARROW,הוƒ,\xE2\xAC\x85,<e2><ac><85>
LEMON,_פ†,\xF0\x9F\x8D\x8B,<ed><a0><bc><ed><bd><8b>
LEO,ה»כ,\xE2\x99\x8C,<e2><99><8c>
LEOPARD,_פÊ,\xF0\x9F\x90\x86,<ed><a0><bd><ed><b0><86>
LIBRA,ה»_,\xE2\x99\x8E,<e2><99><8e>
LIGHT RAIL,_פ_,\xF0\x9F\x9A\x88,<ed><a0><bd><ed><ba><88>
LINK SYMBOL,_פמ„,\xF0\x9F\x94\x97,<ed><a0><bd><ed><b4><97>
LIPSTICK,_פֽ‹,\xF0\x9F\x92\x84,<ed><a0><bd><ed><b2><84>
LOCK,_פמֽ,\xF0\x9F\x94\x92,<ed><a0><bd><ed><b4><92>
LOCK WITH INK PEN,_פמ,\xF0\x9F\x94\x8F,<ed><a0><bd><ed><b4><8f>
LOLLIPOP,_פ_,\xF0\x9F\x8D\xAD,<ed><a0><bc><ed><bd><ad>
LOUDLY CRYING FACE,_פײ_,\xF0\x9F\x98\xAD,<ed><a0><bd><ed><b8><ad>
LOVE HOTEL,_פ©,\xF0\x9F\x8F\xA9,<ed><a0><bc><ed><bf><a9>
LOVE LETTER,_פֽכ,\xF0\x9F\x92\x8C,<ed><a0><bd><ed><b2><8c>
LOW BRIGHTNESS SYMBOL,_פמƒ,\xF0\x9F\x94\x85,<ed><a0><bd><ed><b4><85>
MAHJONG TILE RED DRAGON,_פף‹,\xF0\x9F\x80\x84,<ed><a0><bc><ed><b0><84>
MAN,_פןֲ,\xF0\x9F\x91\xA8,<ed><a0><bd><ed><b1><a8>
MAN AND WOMAN HOLDING HANDS,_פן‚,\xF0\x9F\x91\xAB,<ed><a0><bd><ed><b1><ab>
MAN WITH GUA PI MAO,_פן_,\xF0\x9F\x91\xB2,<ed><a0><bd><ed><b1><b2>
MAN WITH TURBAN,_פן_,\xF0\x9F\x91\xB3,<ed><a0><bd><ed><b1><b3>
MANS SHOE,_פן_,\xF0\x9F\x91\x9E,<ed><a0><bd><ed><b1><9e>
MAPLE LEAF,_פ,\xF0\x9F\x8D\x81,<ed><a0><bc><ed><bd><81>
MEAT ON BONE,_פ_,\xF0\x9F\x8D\x96,<ed><a0><bc><ed><bd><96>
MEDIUM BLACK CIRCLE,ה_‚,\xE2\x9A\xAB,<e2><9a><ab>
MEDIUM WHITE CIRCLE,ה_ָ,\xE2\x9A\xAA,<e2><9a><aa>
MELON,_פ,\xF0\x9F\x8D\x88,<ed><a0><bc><ed><bd><88>
MEMO,_פס,\xF0\x9F\x93\x9D,<ed><a0><bd><ed><b3><9d>
MENS SYMBOL,_פ__,\xF0\x9F\x9A\xB9,<ed><a0><bd><ed><ba><b9>
METRO,_פ_ˆ,\xF0\x9F\x9A\x87,<ed><a0><bd><ed><ba><87>
MICROPHONE,_פ__,\xF0\x9F\x8E\xA4,<ed><a0><bc><ed><be><a4>
MICROSCOPE,_פמו,\xF0\x9F\x94\xAC,<ed><a0><bd><ed><b4><ac>
MILKY WAY,_פככ,\xF0\x9F\x8C\x8C,<ed><a0><bc><ed><bc><8c>
MINIBUS,_פ_,\xF0\x9F\x9A\x90,<ed><a0><bd><ed><ba><90>
MINIDISC,_פֽ_,\xF0\x9F\x92\xBD,<ed><a0><bd><ed><b2><bd>
MOBILE PHONE,_פס±,\xF0\x9F\x93\xB1,<ed><a0><bd><ed><b3><b1>
MOBILE PHONE OFF,_פסַ,\xF0\x9F\x93\xB4,<ed><a0><bd><ed><b3><b4>
MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT,_פס_,\xF0\x9F\x93\xB2,<ed><a0><bd><ed><b3><b2>
MONEY BAG,_פֱֽ,\xF0\x9F\x92\xB0,<ed><a0><bd><ed><b2><b0>
MONEY WITH WINGS,_פֽ,\xF0\x9F\x92\xB8,<ed><a0><bd><ed><b2><b8>
MONKEY,_פֽ,\xF0\x9F\x90\x92,<ed><a0><bd><ed><b0><92>
MONKEY FACE,_פµ,\xF0\x9F\x90\xB5,<ed><a0><bd><ed><b0><b5>
MONORAIL,_פ_,\xF0\x9F\x9A\x9D,<ed><a0><bd><ed><ba><9d>
MOON VIEWING CEREMONY,_פ_ן,\xF0\x9F\x8E\x91,<ed><a0><bc><ed><be><91>
MOUNT FUJI,_פ„י,\xF0\x9F\x97\xBB,<ed><a0><bd><ed><b7><bb>
MOUNTAIN BICYCLIST,_פ_µ,\xF0\x9F\x9A\xB5,<ed><a0><bd><ed><ba><b5>
MOUNTAIN CABLEWAY,_פ_ז,\xF0\x9F\x9A\xA0,<ed><a0><bd><ed><ba><a0>
MOUNTAIN RAILWAY,_פ__,\xF0\x9F\x9A\x9E,<ed><a0><bd><ed><ba><9e>
MOUSE,_פ,\xF0\x9F\x90\x81,<ed><a0><bd><ed><b0><81>
MOUSE FACE,_פ_,\xF0\x9F\x90\xAD,<ed><a0><bd><ed><b0><ad>
MOUTH,_פן‹,\xF0\x9F\x91\x84,<ed><a0><bd><ed><b1><84>
MOVIE CAMERA,_פ_«,\xF0\x9F\x8E\xA5,<ed><a0><bc><ed><be><a5>
MOYAI,_פ„ֻ,\xF0\x9F\x97\xBF,<ed><a0><bd><ed><b7><bf>
MULTIPLE MUSICAL NOTES,_פ__,\xF0\x9F\x8E\xB6,<ed><a0><bc><ed><be><b6>
MUSHROOM,_פ‹,\xF0\x9F\x8D\x84,<ed><a0><bc><ed><bd><84>
MUSICAL KEYBOARD,_פ__,\xF0\x9F\x8E\xB9,<ed><a0><bc><ed><be><b9>
MUSICAL NOTE,_פ_µ,\xF0\x9F\x8E\xB5,<ed><a0><bc><ed><be><b5>
MUSICAL SCORE,_פ__,\xF0\x9F\x8E\xBC,<ed><a0><bc><ed><be><bc>
NAIL POLISH,_פֽƒ,\xF0\x9F\x92\x85,<ed><a0><bd><ed><b2><85>
NAME BADGE,_פס_,\xF0\x9F\x93\x9B,<ed><a0><bd><ed><b3><9b>
NECKTIE,_פןמ,\xF0\x9F\x91\x94,<ed><a0><bd><ed><b1><94>
NEGATIVE SQUARED AB,_פÊ_,\xF0\x9F\x86\x8E,<ed><a0><bc><ed><b6><8e>
NEGATIVE SQUARED CROSS MARK,ה_,\xE2\x9D\x8E,<e2><9d><8e>
NEGATIVE SQUARED LATIN CAPITAL LETTER A,_פƒֱ,\xF0\x9F\x85\xB0,<ed><a0><bc><ed><b5><b0>
NEGATIVE SQUARED LATIN CAPITAL LETTER B,_פƒ±,\xF0\x9F\x85\xB1,<ed><a0><bc><ed><b5><b1>
NEGATIVE SQUARED LATIN CAPITAL LETTER O,_פƒ_,\xF0\x9F\x85\xBE,<ed><a0><bc><ed><b5><be>
NEGATIVE SQUARED LATIN CAPITAL LETTER P,_פƒֻ,\xF0\x9F\x85\xBF,<ed><a0><bc><ed><b5><bf>
NEUTRAL FACE,_פײ,\xF0\x9F\x98\x90,<ed><a0><bd><ed><b8><90>
NEW MOON SYMBOL,_פכן,\xF0\x9F\x8C\x91,<ed><a0><bc><ed><bc><91>
NEW MOON WITH FACE,_פכ_,\xF0\x9F\x8C\x9A,<ed><a0><bc><ed><bc><9a>
NEWSPAPER,_פסֱ,\xF0\x9F\x93\xB0,<ed><a0><bd><ed><b3><b0>
NIGHT WITH STARS,_פכ€,\xF0\x9F\x8C\x83,<ed><a0><bc><ed><bc><83>
NO BICYCLES,_פ__,\xF0\x9F\x9A\xB3,<ed><a0><bd><ed><ba><b3>
NO ENTRY,ה_מ,\xE2\x9B\x94,<e2><9b><94>
NO ENTRY SIGN,_פ_‚,\xF0\x9F\x9A\xAB,<ed><a0><bd><ed><ba><ab>
NO MOBILE PHONES,_פסµ,\xF0\x9F\x93\xB5,<ed><a0><bd><ed><b3><b5>
NO ONE UNDER EIGHTEEN SYMBOL,_פמ_,\xF0\x9F\x94\x9E,<ed><a0><bd><ed><b4><9e>
NO PEDESTRIANS,_פ_‡,\xF0\x9F\x9A\xB7,<ed><a0><bd><ed><ba><b7>
NO SMOKING SYMBOL,_פ__,\xF0\x9F\x9A\xAD,<ed><a0><bd><ed><ba><ad>
NON-POTABLE WATER SYMBOL,_פ_±,\xF0\x9F\x9A\xB1,<ed><a0><bd><ed><ba><b1>
NORTH EAST ARROW,הÊ„,\xE2\x86\x97,<e2><86><97>
NORTH WEST ARROW,הÊ_,\xE2\x86\x96,<e2><86><96>
NOSE,_פן€,\xF0\x9F\x91\x83,<ed><a0><bd><ed><b1><83>
NOTEBOOK,_פסס,\xF0\x9F\x93\x93,<ed><a0><bd><ed><b3><93>
NOTEBOOK WITH DECORATIVE COVER,_פסמ,\xF0\x9F\x93\x94,<ed><a0><bd><ed><b3><94>
NUMBER SIGN + COMBINING ENCLOSING KEYCAP,#ה€£,\x23\xE2\x83\xA3,#<e2><83><a3>
NUT AND BOLT,_פמ©,\xF0\x9F\x94\xA9,<ed><a0><bd><ed><b4><a9>
OCTOPUS,_פ»,\xF0\x9F\x90\x99,<ed><a0><bd><ed><b0><99>
ODEN,_פ¢,\xF0\x9F\x8D\xA2,<ed><a0><bc><ed><bd><a2>
OFFICE BUILDING,_פ¢,\xF0\x9F\x8F\xA2,<ed><a0><bc><ed><bf><a2>
OK HAND SIGN,_פןכ,\xF0\x9F\x91\x8C,<ed><a0><bd><ed><b1><8c>
OLDER MAN,_פןַ,\xF0\x9F\x91\xB4,<ed><a0><bd><ed><b1><b4>
OLDER WOMAN,_פןµ,\xF0\x9F\x91\xB5,<ed><a0><bd><ed><b1><b5>
ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE,_פמ_,\xF0\x9F\x94\x9B,<ed><a0><bd><ed><b4><9b>
ONCOMING AUTOMOBILE,_פ_ײ,\xF0\x9F\x9A\x98,<ed><a0><bd><ed><ba><98>
ONCOMING BUS,_פ_,\xF0\x9F\x9A\x8D,<ed><a0><bd><ed><ba><8d>
ONCOMING POLICE CAR,_פ_מ,\xF0\x9F\x9A\x94,<ed><a0><bd><ed><ba><94>
ONCOMING TAXI,_פ__,\xF0\x9F\x9A\x96,<ed><a0><bd><ed><ba><96>
OPEN BOOK,_פס_,\xF0\x9F\x93\x96,<ed><a0><bd><ed><b3><96>
OPEN FILE FOLDER,_פס‰,\xF0\x9F\x93\x82,<ed><a0><bd><ed><b3><82>
OPEN HANDS SIGN,_פן,\xF0\x9F\x91\x90,<ed><a0><bd><ed><b1><90>
OPEN LOCK,_פמס,\xF0\x9F\x94\x93,<ed><a0><bd><ed><b4><93>
OPEN MAILBOX WITH LOWERED FLAG,_פס_,\xF0\x9F\x93\xAD,<ed><a0><bd><ed><b3><ad>
OPEN MAILBOX WITH RAISED FLAG,_פסו,\xF0\x9F\x93\xAC,<ed><a0><bd><ed><b3><ac>
OPHIUCHUS,ה__,\xE2\x9B\x8E,<e2><9b><8e>
OPTICAL DISC,_פֻֽ,\xF0\x9F\x92\xBF,<ed><a0><bd><ed><b2><bf>
ORANGE BOOK,_פס»,\xF0\x9F\x93\x99,<ed><a0><bd><ed><b3><99>
OUTBOX TRAY,_פס_,\xF0\x9F\x93\xA4,<ed><a0><bd><ed><b3><a4>
OX,_פ‰,\xF0\x9F\x90\x82,<ed><a0><bd><ed><b0><82>
PACKAGE,_פס_,\xF0\x9F\x93\xA6,<ed><a0><bd><ed><b3><a6>
